Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-1073.861	-1680.865	607.0046	0.8771748	1.945857	2.535806
6	-1071.885	-1679.249	607.3643	0.9576912	3.275238	1.832703
12	-1063.1	-1670.17	607.0706	0.9552975	2.197621	2.354834
18	-1074.054	-1681.425	607.3712	0.9196626	2.538684	2.070313
24	-1079.919	-1686.778	606.8589	0.9008549	2.531796	2.414434
30	-1090.694	-1697.207	606.5133	0.849376	2.572133	2.649702
36	-1082.174	-1689.05	606.8762	0.9227802	2.11523	2.526198
42	-1096.957	-1704.329	607.3713	0.9130546	2.275918	2.161817
48	-1101.833	-1709.8	607.9668	1.255448	2.047117	1.608114
54	-1086.663	-1694.585	607.922	1.412421	2.739971	1.248096
60	-1098.444	-1706.213	607.7695	1.316211	2.500927	1.531364
66	-1096.002	-1703.731	607.7289	1.236235	2.500927	1.619676
72	-1096.155	-1703.183	607.0283	1.16551	2.085965	2.28737
78	-1093.53	-1700.585	607.0553	1.119708	3.059011	1.991816
84	-1087.479	-1694.602	607.123	0.9866136	3.06099	2.034761
90	-1090.008	-1696.906	606.8981	1.13474	3.249203	2.034761
96	-1097.566	-1704.601	607.0351	1.13951	3.604651	1.847788
102	-1099.521	-1706.912	607.3913	1.187837	3.580566	1.567825
108	-1112.566	-1719.822	607.2557	1.230796	3.417288	1.679048
114	-1089.721	-1697.719	607.9989	1.33657	3.15827	1.089339
120	-1090.338	-1698.145	607.807	1.252922	3.15827	1.325103
126	-1096.153	-1704.187	608.034	1.502521	2.149953	1.325103
132	-1081.551	-1689.103	607.552	1.372386	3.645333	1.283171
138	-1076.919	-1684.29	607.3715	1.313069	4.356543	1.283171
144	-1076.54	-1684.536	607.9966	1.466493	2.747225	1.134341
150	-1084.554	-1692.266	607.7119	1.312653	2.747225	1.489968
156	-1091.618	-1699.214	607.5961	1.244693	2.764165	1.619767
162	-1102.15	-1709.294	607.1437	1.338808	3.250599	1.727886
168	-1110.069	-1717.473	607.4041	1.164464	4.015475	1.461634
174	-1099.034	-1706.637	607.603	1.2143	4.148829	1.228119
180	-1101.948	-1709.183	607.2358	1.24008	4.168867	1.493358
186	-1094.879	-1702.744	607.8645	1.222659	2.86495	1.401725
192	-1090.313	-1698.123	607.8094	1.296631	2.782627	1.415604
198	-1076.857	-1684.845	607.9874	1.26346	2.287558	1.489075
204	-1086.972	-1695.008	608.0356	1.29027	2.481707	1.354719
210	-1079.932	-1687.838	607.9065	1.320861	2.718646	1.343289
216	-1061.42	-1669.432	608.012	1.320861	2.718646	1.257543
222	-1056.548	-1664.422	607.8743	1.595628	2.947446	1.046045
228	-1069.377	-1677.55	608.1728	1.511277	2.479019	1.047875
